N,order,method,label,dev_pp,test_pp,zero_frac,test_pp_covered,secs
1,unigram,Unsmoothed (MLE),Unsmoothed (MLE),2944.6061940417203,2884.7818902122,0.0,2884.7818902122,0.01
1,unigram,Add-1 (Laplace),Add-1 (Laplace),2944.5748357315906,2884.563963580056,0.0,2884.563963580056,0.0
1,unigram,Add-k,Add-k (k=0.5),2944.5419873799397,2884.6239733821576,0.0,2884.6239733821576,0.0
1,unigram,Interpolated (JM),Interpolated (JM),2964.6141660240482,2902.542934430814,0.0,2902.542934430814,0.0
1,unigram,Kneser-Ney (d=0.75),Kneser-Ney (d=0.75),2944.6061940417203,2884.7818902122,0.0,2884.7818902122,0.01
2,bigram,Unsmoothed (MLE),Unsmoothed (MLE),inf,inf,0.19500744673962314,124.56626995846892,0.04
2,bigram,Add-1 (Laplace),Add-1 (Laplace),3191.951036958473,3055.793279638007,0.0,3055.793279638007,0.0
2,bigram,Add-k,Add-k (k=0.005),741.7734626344223,710.8198604330395,0.0,710.8198604330395,0.0
2,bigram,Interpolated (JM),Interpolated (JM),555.6761167395714,539.5044587212612,0.0,539.5044587212612,0.0
2,bigram,Kneser-Ney (d=0.75),Kneser-Ney (d=0.75),487.6186070453424,473.26449027326794,0.0,473.26449027326794,0.06
3,trigram,Unsmoothed (MLE),Unsmoothed (MLE),inf,inf,0.5744997733600984,21.089522417327526,0.09
3,trigram,Add-1 (Laplace),Add-1 (Laplace),20314.958453151132,19670.618807365547,0.0,19670.618807365547,0.0
3,trigram,Add-k,Add-k (k=0.0005),4087.074240466576,3923.539087402004,0.0,3923.539087402004,0.0
3,trigram,Interpolated (JM),Interpolated (JM),464.40805636623924,448.72375335826064,0.0,448.72375335826064,0.0
3,trigram,Kneser-Ney (d=0.75),Kneser-Ney (d=0.75),407.4545671469112,393.4078561791385,0.0,393.4078561791385,0.18
4,quadgram,Unsmoothed (MLE),Unsmoothed (MLE),inf,inf,0.7919445703555009,13.248363286133191,0.11
4,quadgram,Add-1 (Laplace),Add-1 (Laplace),40226.1944974034,39497.38187034611,0.0,39497.38187034611,0.0
4,quadgram,Add-k,Add-k (k=0.0005),16581.91693851009,15686.868811289985,0.0,15686.868811289985,0.0
4,quadgram,Interpolated (JM),Interpolated (JM),447.3644170829641,431.0797507764118,0.0,431.0797507764118,0.0
4,quadgram,Kneser-Ney (d=0.75),Kneser-Ney (d=0.75),408.735914702026,393.22558335924435,0.0,393.22558335924435,0.3
